date,calendar_type,event_name,is_working_day
2026-09-07,Canada,Labour Day,1
2026-09-07,Company,Labor Day,0
2026-09-07,US,Labor Day,1
2026-09-30,Canada,National Day for Truth and Reconciliation,1
2026-10-12,Canada,Canadian Thanksgiving,1
2026-11-26,Company,Thanksgiving,0
2026-11-26,US,Thanksgiving,1
2026-11-27,Company,Day after Thanksgiving,0
2026-11-27,US,Day after Thanksgiving,1
2026-12-25,Canada,Christmas Day,1
2026-12-25,Company,Christmas Day,0
2026-12-25,US,Christmas Day,1
2026-12-26,Canada,Boxing Day,1
2027-01-01,Canada,New Year's Day,1
2027-01-01,Company,New Year's Day,0
2027-01-01,US,New Year's Day,1
2027-01-18,US,MLK Day,1
2027-02-15,US,Presidents' Day,1
2027-03-26,Canada,Good Friday,1
2027-05-24,Canada,Victoria Day,1
2027-05-31,Company,Memorial Day,0
2027-05-31,US,Memorial Day,1
2027-06-19,US,Juneteenth,1
2027-07-01,Canada,Canada Day,1
2027-07-04,US,Independence Day,1
2027-07-05,Company,Independence Day (Observed),0
2027-08-02,Canada,Civic Holiday,1
2027-09-06,Canada,Labour Day,1
2027-09-06,Company,Labor Day,0
2027-09-06,US,Labor Day,1
2027-09-30,Canada,National Day for Truth and Reconciliation,1
2027-10-11,Canada,Canadian Thanksgiving,1
2027-11-25,Company,Thanksgiving,0
2027-11-25,US,Thanksgiving,1
2027-11-26,Company,Day after Thanksgiving,0
2027-11-26,US,Day after Thanksgiving,1
2027-12-24,Company,Christmas Day (Observed),0
2027-12-25,Canada,Christmas Day,1
2027-12-25,US,Christmas Day,1
2027-12-26,Canada,Boxing Day,1
2027-12-31,Company,New Year's Day (Observed),0
2028-01-01,Canada,New Year's Day,1
2028-01-01,US,New Year's Day,1
2028-01-17,US,MLK Day,1
2028-02-21,US,Presidents' Day,1
2028-04-14,Canada,Good Friday,1
2028-05-22,Canada,Victoria Day,1
2028-05-29,Company,Memorial Day,0
2028-05-29,US,Memorial Day,1
2028-06-19,US,Juneteenth,1
2028-07-01,Canada,Canada Day,1
2028-07-04,Company,Independence Day,0
2028-07-04,US,Independence Day,1
2028-08-07,Canada,Civic Holiday,1
2028-09-04,Canada,Labour Day,1
2028-09-04,Company,Labor Day,0
2028-09-04,US,Labor Day,1
2028-09-30,Canada,National Day for Truth and Reconciliation,1
2028-10-09,Canada,Canadian Thanksgiving,1
2028-11-23,Company,Thanksgiving,0
2028-11-23,US,Thanksgiving,1
2028-11-24,Company,Day after Thanksgiving,0
2028-11-24,US,Day after Thanksgiving,1
2028-12-25,Canada,Christmas Day,1
2028-12-25,Company,Christmas Day,0
2028-12-25,US,Christmas Day,1
2028-12-26,Canada,Boxing Day,1
2029-01-01,Canada,New Year's Day,1
2029-01-01,Company,New Year's Day,0
2029-01-01,US,New Year's Day,1
2029-01-15,US,MLK Day,1
2029-02-19,US,Presidents' Day,1
2029-03-30,Canada,Good Friday,1
2029-05-21,Canada,Victoria Day,1
2029-05-28,Company,Memorial Day,0
2029-05-28,US,Memorial Day,1
2029-06-19,US,Juneteenth,1
2029-07-01,Canada,Canada Day,1
2029-07-04,Company,Independence Day,0
2029-07-04,US,Independence Day,1
2029-08-06,Canada,Civic Holiday,1
2029-09-03,Canada,Labour Day,1
2029-09-03,Company,Labor Day,0
2029-09-03,US,Labor Day,1
2029-09-30,Canada,National Day for Truth and Reconciliation,1
2029-10-08,Canada,Canadian Thanksgiving,1
2029-11-22,Company,Thanksgiving,0
2029-11-22,US,Thanksgiving,1
2029-11-23,Company,Day after Thanksgiving,0
2029-11-23,US,Day after Thanksgiving,1
2029-12-25,Canada,Christmas Day,1
2029-12-25,Company,Christmas Day,0
2029-12-25,US,Christmas Day,1
2029-12-26,Canada,Boxing Day,1
2030-01-01,Canada,New Year's Day,1
2030-01-01,Company,New Year's Day,0
2030-01-01,US,New Year's Day,1
2030-01-21,US,MLK Day,1
2030-02-18,US,Presidents' Day,1
2030-04-19,Canada,Good Friday,1
2030-05-20,Canada,Victoria Day,1
2030-05-27,Company,Memorial Day,0
2030-05-27,US,Memorial Day,1
2030-06-19,US,Juneteenth,1
2030-07-01,Canada,Canada Day,1
2030-07-04,Company,Independence Day,0
2030-07-04,US,Independence Day,1
2030-08-05,Canada,Civic Holiday,1
